windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
185,1770808354.809892,1770808359.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
186,1770808359.809892,1770808364.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
187,1770808364.809892,1770808369.809892,58.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,56.0
188,1770808369.809892,1770808374.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
189,1770808374.809892,1770808379.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1770808379.809892,1770808384.809892,55.0,78.98181818181818,102.04909691819027,2.0,2.0,2.0,2.0,5.0,50.0
191,1770808384.809892,1770808389.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
192,1770808389.809892,1770808394.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
193,1770808394.809892,1770808399.809892,76.0,86.5,57.860637166672596,6.0,6.0,2.0,2.0,11.0,33.0
194,1770808399.809892,1770808404.809892,45.0,404.4,547.3791024675511,5.0,5.0,5.0,5.0,43.0,2.0
195,1770808404.809892,1770808409.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1770808409.809892,1770808414.809892,386.0,201.7901554404145,296.77202760766596,3.0,3.0,4.0,4.0,326.0,60.0
197,1770808414.809892,1770808419.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
198,1770808419.809892,1770808424.809892,8.0,201.375,247.26384837716517,3.0,3.0,4.0,4.0,8.0,0.0
199,1770808424.809892,1770808429.809892,58.0,60.775862068965516,5.16752037128629,3.0,3.0,2.0,2.0,2.0,54.0
200,1770808429.809892,1770808434.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
201,1770808434.809892,1770808439.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,1770808439.809892,1770808444.809892,64.0,76.3125,94.71291207795126,2.0,2.0,2.0,2.0,5.0,59.0
203,1770808444.809892,1770808449.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
204,1770808449.809892,1770808454.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
205,1770808454.809892,1770808459.809892,61.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,59.0
206,1770808459.809892,1770808464.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
207,1770808464.809892,1770808469.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1770808469.809892,1770808474.809892,26.0,100.15384615384616,147.00386180170707,2.0,2.0,2.0,2.0,5.0,21.0
209,1770808474.809892,1770808479.809892,8.0,231.125,334.2015805297327,2.0,2.0,2.0,2.0,8.0,0.0
210,1770808479.809892,1770808484.809892,9.0,185.0,236.4344518043003,3.0,3.0,4.0,4.0,7.0,0.0
211,1770808484.809892,1770808489.809892,55.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,55.0
212,1770808489.809892,1770808494.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
213,1770808494.809892,1770808499.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,1770808499.809892,1770808504.809892,53.0,79.69811320754717,103.92389687904034,2.0,2.0,2.0,2.0,5.0,48.0
215,1770808504.809892,1770808509.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
216,1770808509.809892,1770808514.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
217,1770808514.809892,1770808519.809892,62.0,60.725806451612904,4.998915799954992,3.0,3.0,2.0,2.0,2.0,60.0
218,1770808519.809892,1770808524.809892,7.0,220.0,260.0839608024045,3.0,2.0,2.0,2.0,5.0,0.0
219,1770808524.809892,1770808529.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1770808529.809892,1770808534.809892,57.0,78.3157894736842,100.27215784602302,2.0,2.0,2.0,2.0,5.0,52.0
221,1770808534.809892,1770808539.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
222,1770808539.809892,1770808544.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
223,1770808544.809892,1770808549.809892,52.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,50.0
224,1770808549.809892,1770808554.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
225,1770808554.809892,1770808559.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1770808559.809892,1770808564.809892,55.0,78.98181818181818,102.04909691819027,2.0,2.0,2.0,2.0,5.0,50.0
227,1770808564.809892,1770808569.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
228,1770808569.809892,1770808574.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
229,1770808574.809892,1770808579.809892,60.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,60.0
230,1770808579.809892,1770808584.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
