windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,avgInterArrivalTime,stdInterArrivalTime,avgTTL,stdTTL,avgIPLen,stdIPLen,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,uniqueTCPStreams,DNSQueryCount,uniqueDNSQueries,label
85381,1773831980.793076,1773831985.793076,5,80.0,15.604486534327235,0,0,2,2,1,1,3,2,0.006128400000000001,0.01109276003977369,150.6,97.55152484712886,66.0,15.604486534327235,20.666666666666668,17.897858344878397,2,1,0,0,exitinghome
85382,1773831981.793076,1773831986.793076,11,102.63636363636364,90.1945372262342,0,0,3,3,1,1,6,5,0.00790618181818182,0.009493994499873926,194.8181818181818,85.04212859732309,88.0909090909091,90.49580603039516,68.83333333333333,123.05026073384269,4,2,0,0,bulboff
85383,1773831982.793076,1773831987.793076,14,95.64285714285714,80.3172623871272,0,0,3,3,1,1,6,8,0.006301357142857144,0.008917303038364346,207.71428571428572,78.86641926645389,81.21428571428571,80.53778718611011,68.83333333333333,123.05026073384269,4,2,0,0,bulboff
85384,1773831983.793076,1773831988.793076,11,98.0909090909091,91.05652590062344,0,0,2,2,1,1,3,8,0.0052588181818181805,0.007781513680745949,242.27272727272728,42.21158824088691,83.54545454545455,91.32509363407587,117.0,174.85136545077364,2,1,0,0,bulboff
85385,1773831984.793076,1773831989.793076,15,109.13333333333334,96.97412516945411,0,0,3,3,1,1,7,8,0.004306533333333333,0.006814477381351587,227.0,57.96550698475775,93.93333333333334,97.65498061079752,97.28571428571429,134.68693859677498,4,2,0,0,bulboff
85386,1773831985.793076,1773831990.793076,117,775.1623931623932,697.7149397814434,0,0,5,5,1,1,111,6,0.0023352905982905983,0.004816143682091387,80.3931623931624,57.20274849692722,761.008547008547,697.8746243456839,747.7297297297297,695.8676591257846,70,4,0,0,exitinghome
85387,1773831986.793076,1773831991.793076,496,937.133064516129,720.1440810071133,0,0,6,6,4,4,483,13,0.0016332439516129034,0.003189609237800507,63.42943548387097,22.55791783508432,923.0725806451613,720.2181451057654,893.2836438923396,716.8206951572909,322,5,10,1,exitinghome
85388,1773831987.793076,1773831992.793076,1225,1004.389387755102,807.813703640418,0,0,6,6,3,3,1215,10,0.001391046530612245,0.002559504134974347,61.16571428571429,11.58075369780181,990.3551020408163,807.8539444302701,945.6172839506173,807.178258229055,835,5,10,1,exitinghome
85389,1773831988.793076,1773831993.793076,1848,1014.8901515151515,764.6676078274899,0,0,6,6,3,3,1838,10,0.0013537673160173161,0.0025022165751224412,60.913419913419915,9.95860808713277,1000.8674242424242,764.6960925615168,953.7252448313384,763.9235435044762,1272,5,10,1,exitinghome
85390,1773831989.793076,1773831994.793076,2114,1028.3741721854306,840.9587369599006,0,0,5,5,3,3,2104,10,0.0013987265846736048,0.002756184740143738,60.544938505203405,7.240452395770037,1014.3599810785241,840.975136294074,966.6449619771863,840.664782848395,1447,4,10,1,idle
