frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773399499.374642000,0.002081000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.376497000,0.001781000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.393810000,0.017313000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.396056000,0.002246000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.399188000,0.003059000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.417361000,0.018173000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.419606000,0.002245000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.421127000,0.001447000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.438063000,0.016936000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.441325000,0.003262000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.443083000,0.001688000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.462106000,0.019023000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.464644000,0.002538000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.467105000,0.002387000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.487142000,0.020037000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.490513000,0.003371000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.493053000,0.001398000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.510121000,0.017068000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.511602000,0.001481000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.514495000,0.002819000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.530717000,0.016222000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.532638000,0.001921000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.533852000,0.001139000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.555617000,0.021765000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.556739000,0.001122000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.558530000,0.001717000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.578999000,0.020469000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.582300000,0.003301000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.584383000,0.002008000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.601157000,0.016774000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.603394000,0.002237000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.607253000,0.003789000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.623202000,0.015949000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.624344000,0.001142000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.626434000,0.002016000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.645155000,0.018721000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.648557000,0.003402000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.650404000,0.001773000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.667382000,0.016978000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.669628000,0.002246000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.671397000,0.001695000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.689341000,0.017944000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.690586000,0.001245000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.692038000,0.001378000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.713144000,0.021106000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.714762000,0.001618000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.716290000,0.001453000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.736240000,0.019950000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.738312000,0.002072000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.739944000,0.001558000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.757927000,0.012353000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.760300000,0.002373000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.762749000,0.002375000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
